link,tag,text
thttps://pec.ac.in/senate-members,<p>,Quick LinksName/DesignationCapacityDirectorex-officio ChairmanDeputy Directorex-officioHeads of all the Academic Departmentsex-officioDr. Asha Gupta Applied Sciences DepartmentTwo Professors other than Deans/ Heads of departments by rotationDr. Sanjeev Kumar Mechanical Engineering DepartmentProf. S. K. Sharma Civil Engineering DepartmentTwo Associate Professors from the departments elected from amongst the Associate ProfessorsProf. Arun K. Singh Electonics & Communication Engineering DepartmentProf. Tejinder Singh Saggu Electrical Engineering DepartmentTwo Assistant Professors from the departments elected from amongst the Assistant ProfessorsSh. Kunal Nandwani Co-founder and CEO of uTrade SolutionsTwo persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute nominated by the Chairman of the Board of GovernorsProf. M. Rajiv Lochan Department of History Panjab University ChandigarhMs. Seema Vasishta Senior LibrarianTwo persons who are not members of the teaching staff co-opted by the Senate for their specialized knowledgeRegistrarex-officio SecretaryCopyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012
https://pec.ac.in/courses-and-conferences,<p>,Quick LinksCoursesS.NoName of CourseName of the CoordinatorDeptt.Duration1Six Sigma & Research MethodologyProf. P. S. SatsangiMechanical20/12/2010 to 24/12/20102Design of Embedded SystemsProf. Neelu JainE&EC4/6/2010 to5/6/20103Refresher Course in “Mechanical Engineering”Prof. Sushant SamirMechanical29/12/2011 to11/01/20124Flights Mechanics & Recent DevelopmentsProf. Rakesh KumarAeronautical3/12/2012 to 07/12/20125Faculty Development progremme with INFOSYSProf. Sanjeev SofatCS&E12/9/2012 to14/9/20126Short Term Course on Applications of PLC in MechatronicsProf. Balwinder SinghElectrical7/1/2013 to 11/1/20137Industry –Institute interaction on CSE Programming( E-Waste Management)Porf. Sanjeev SofatCS&E8Value Engineering Module - 1Prof. R.M BelokarProduction14/07/2014 to 18/07/2014WorkshopS.NoName of WorkshopName of the CoordinatorDeptt.Duration1Advance Techniques for Material CharacterizationProf. Uma BatraMetallurgy06/11/20122One Workshop on Enhancement of R&D ActivitiesProf. P.S SatsangiAeronautical30/11/20123The role & importance of basic sciences and humanities in U.G Engg. programe & revision of existing curriculumProf. SuchetaApplied Science23/03/20134Design and Simulation of Photonic Communication SystemProf. Neelam R. PrakashProf. Neena GuptaE&EC25/01/20135Photonics System and Network DesignProf. Neelam R. PrakashProf. Neena GuptaE&EC06/02/20136Recent Trends in Renewal Energy SourcesProf. Tarlochan kaurElectrical13/03/20137Quality Management System in Tube ManufacturingProf. Uma BatraMetallurgy08/03/20138Development in Renewal Energy SourcesProf. Balwinder SinghElectrical27/02/2013 to 01/03/2013ConferenceS. NoName of ConferenceName of the CoordinatorDeptt.Duration1Half Day Round Table Conference with DIT “Critical Information Infrastructure Protection – Towards a Cyber Safe City”Prof. Sanjeev SofatCSE28/08/20122National Conference on “Recent Advances in power System (RARS - 2014)Prof. Balwinder SinghElectrical28/06/2014Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012
https://pec.ac.in/events/online-short-term-course-stc-smart-functional-materials-emerging-applications,<p>,Quick LinksTEQIP-III sponsored Online Short Term Course (STC) on “Smart Functional Materials for Emerging Applications” was organized by Department of Applied Sciences Punjab Engineering College (Deemed to be University) from 19-21 August 2020. The STC was coordinated by Dr. Sonu Kumar Dr. Veeranna Yempally and Dr. Prem Lata with the primary objective of enriching the participants with the basic concepts and current knowledge of scientific advancements in the area of functional materials and polymers having unique properties and promising applications for e.g. towards catalysis renewable energy sensors nanotechnology biomedicine etc.. Around 150 participants (faculty members and research scholars) from various universities/institutes across the country registered for this event and the lectures were delivered by eminent speakers from IIT IISER CSIR lab and other University/Institute of national repute.The event started with the welcome address by Prof. Dheeraj Sanghi (Director PEC) in presence of Prof. Harminder Kaur (Head Applied Science Dept. and convener of this STC) and Prof. Arun K. Grover (Emeritus Professor Applied Science Dept. and Former Vice-Chancellor Panjab University). Prof. Sanghi appreciated the efforts of course coordinators and the organizing committee for creating such platform comprised of eminent speakers and broad audience from reputed institutes/universities.Prof. Amitava Patra (Director INST Mohali) inaugurated the event and delivered the first lecture of the STC on nanomaterials for efficient light harvesting systems. He discussed on luminescent nanomaterials for photonic applications and fluorescence energy transfer of quantum dots and metal nanoclusters. Then Dr. Venkataramanan Mahalingam (Professor IISER Kolkata) delivered a talk on colloidal lanthanide-doped luminescent nanocrystals and further emphasized on their applications such as molecular sensing photocatalysis and bioimaging. In the closing lecture of day 1 Dr. Ashootosh Ambade (Principal Scientist CSIR-NCL Pune) discussed with the participants about the synthesis and applications of end-functionalized polymers and dendritic polymers.Prof. Sabu Thomas (Vice-Chancellor Mahatma Gandhi University Kottayam) delivered the first session lecture of day 2 and shared his research works with the participants on interfacial modification in nanocomposites to tailor functionalities. He elaborated on hybrid polymer nanocomposites thin films and fiber materials derived from natural resources. Then Dr. Uttam Manna (Associate Professor IIT Guwahati) delivered his talk on design of durable bio-inspired wettability in particular superhydrophobic materials for prospective outdoor applications. Dr. Narinder Singh (Associate Professor IIT Ropar) discussed on his lecture over the design and synthesis of nanomaterials for sensor development. In the closing lecture Dr. Pradip Paik (Associate Professor IIT BHU) delivered his talk on design and engineering of polymeric nanocapsules and discussed for their stimuli-responsive systems for drug delivery application.Prof. S. Anantha Ramakrishna (Director CSIR-CSIO Chandigarh) started the 3rd day of the event by delivering his talk on active switchable metamaterials and discussed about their microwave and infra-red applications in the defence sector. Then Prof. Prakash Wadgaonkar (Emeritus Scientist CSIR-NCL Pune) introduced to the participants about the synthesis of functional polymers and their complex architectured materials. Subsequently Dr. Ashish Pal (Associate Professor INST Mohali) delivered his lecture on biomimetic functional supramolecular materials and elaborated their structural precision to diverse applications. The last lecture on the closing day of the STC was delivered by Prof. Amitava Das (Professor IISER Kolkata and Former Director CSIR-CSMCRI Bhavnagar) on the topic of stimuli-responsive assemblies for predictive responses. He further explained about the polymeric capsule based systems to meet their biomedicinal applications. The feedback from all the participants regarding the content and quality of the sessions were impressive and satisfactory. The organizing committee based on the feedback received from participants firmly believes that the audience has gained and enriched their knowledge in the field of functional materials and potential applications.The event was finally concluded with the vote of thanks where the coordinators of the STC acknowledged and expressed their gratitude to all the invited speakers for sharing their research experiences to Prof. Dheeraj Sanghi (Director PEC) and Prof. Harminder Kaur (Head Applied Science Dept.) for their full support Dr. Sanjay Batish (TEQIP coordinator) for financial support Ms. Navdeep Kaur for technical support and to all the participants to make this event very successful.PEC welcomed Mr. Bikram Singh Garewal the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943 Mr.Bikram has gone on to achieve many great feats in life.A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency Ministry of Power Govt. of India.PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director PEC Prof. Dheeraj Sanghi.All Top StoriesCopyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012
https://pec.ac.in/events/online-short-term-course-nanotechnology-electronic-and-photonic-devices-nanodev-2020,<p>,Quick LinksAn online short term course on Nanotechnology for Electronic and Photonic Devices (NanoDev-2020) was organized by department of Electronics and Communication Engineering Punjab Engineering College (Deemed to be University) Chandigarh in technical collaboration with IEEE Chandigarh Subsection and Indian Society of Systems for Science and Engineering (ISSE) Chandigarh Chapter from June 15-19 2020. More than 650 participants from various Universities Research organizations and Industries from India and abroad registered for the course. The event was coordinated by Prof. Arun Kumar Singh with an objective to provide an insight to understand and utilize the unique properties and interaction of novel materials their physics and chemistry for the design and development of state-of-the art next generation electronic and photonic devices to meet the needs of relevant industry space defense and research organization.The event was kicked off by Prof. Dheeraj Sanghi Director PEC in the presence of Prof. Neelu Jain Head Dept. of Electronics and Communication Engineering Prof. Neena Gupta Chairperson IEEE Chandigarh Subsection Dr. Manish Hooda Scientist SCL Mohali and Secretary ISSE Chandigarh Chapter and Dr. Sanjay Batish Coordinator TEQIP-III. Prof. Sanghi appreciated the efforts of Course coordinator to rope-in eminent speakers from leading research universities defense and space laboratories and industries to deliver talks on different nano-electronic and photonic technologies. He further encouraged the participants for responsible development of products based upon such technologies to meet out the most pressing human and societal needs.In the inaugural talk on day 1 Dr. H.S. Jatana Sr. Scientist of Semiconductor laboratory (SCL) Mohali emphasised the necessity to work in area of Nanotechnology particularly for the development of photodetectors to meet out the energy requirements discussing about the advantages and challenges of infrared (IR) photodetectors. Prof. Yogesh Chauhan Indian Institute of Technology (IIT) Kanpur introduced the compact modelling techniques to predict the electrical (DC and AC) and noise characteristics of semiconductor devices such as MOSFETs FINFETs and nanotransistors. He also elaborated about his recently developed ASM GaN HEMT model which has been widely adapted by the Industries. Dr. D. S. Rawal Scientist Solid State Physics Laboratory (SSPL) DRDO introduced the participants various fabrication technologies available for the nanoelectronic and photonic devices. He also discussed about III-V materials their properties and applications. In the closing lecture of day 1 Dr. Amit Singh Scientist SCL Mohali discussed about the characteristics of high voltage silicon devices and their challenges elaborating RESURF/LDMOS architectures self-heating and kink effects.On day 2 Prof. Santanu Mahapatra Indian Institute of Sciences (IISc) Bengaluru explained the atom-to-circuit modelling techniques for emerging nanomaterial MOSFETs. He also discussed about utilization of novel 2D material such as black phosphorus germane and sillicene for FETs multi scale modelling and impact on circuit simulations. Next talk was delivered by Prof. Jawar Singh IIT Patna on in-memory Computing for Energy efficient and intensive computations. He further elaborated about the advantages of in-memory computing than that of traditional computing elements of in-memory computing energy efficiency for AL and ML applications. In the closing lecture Dr. Ayan Karmakar Scientist at SCL discussed about the utilization of MEMS technology in antenna engineering. The wafer bonding micromachining and electroplating techniques for RF MEMS were explained in addition to the concepts of lumped and distributed elements planar transmission lines.Dr. Arun Ashok Central Institute of Engineering Electronics and Analytics Research Centre (ZEA) Julich Germany discussed FDSOI applications for advanced architectures in the first session of day 3. He first introduced about the various research activities being carried out at Julich Research Center. Thereafter he discussed about the FDSOI basics merits of FDSOI IOT node example and FDSOI in quantum computing. In the next talk Prof. Samresh Das IIT Delhi discussed about group IV semiconductors and its heterostructure with layered transition metal dichalcogenide for photonic device applications. Further he elaborated about silicon nanowire based photonics detectors THz detectors and modulators. In the closing lecture Dr. Gaurav Jayaswal from SCL discussed about the THz rectenna for energy harvesting applications. He also introduced various concepts of infrared rectennas nano antennas surface plasmon and nano antenna integrated diode.On day 4 of the workshop the first talk was delivered by Prof. Dipankar IIT Bombay on high speed processes in semiconductors. Starting from the basic electron transport he discussed very high speed electron conduction called ballistic transport regime in high speed GaN HEMTs GaN LEDS and quantum dots. Dr. Meena Mishra Scientist SSPL. Delhi talked about RF characterisation of GaN high power devices and circuits. She started her talk by apprising everyone about various measurement facilities for S-parameters pulsed noise and power measurements. She further discussed about role and importance characterisation such as in detections of traps in GaN HEMTs. In the last lecture of day 4 Dr. Saumya Sengupta Scientist at SCL Mohali discussed about the compound semiconductor technology for IR photo detection and utilization for imaging applications. He introduced about the IR photodetectors. Thereafter he discussed about end to end development of GaAs technology based QWP/QDIP and FPA.First talk on the last day of STC was delivered by Prof. Satinder Sharma IIT Mandi on nanoelectronics device and their applications. He started with a brief introduction to nanoelectronics roadmap discussing about the origin of nanoelectronics. 1D finite potential barrier applications of tunnelling scanning microscope single electron transistor and carbon nanotube FET were also discussed. Prof. Brajesh Kaushik IIT Roorkee talked about the VLSI interconnects their challenges and prospects. He discussed about structure properties and characteristics of interconnects which is one of the important component in any VLSI circuit. Further he explained about the modelling of graphene based interconnects such as CNT and GNR advanced packaging techniques and through silicon via applications. Dr. Manoj Khandpal Scientist SCL Mohali delivered the last talk on the closing day of the workshop on MEMS Sensor Technology for Space Applications. He emphasised on the utilization of micro-/nano-electronics in the space. Later he discussed about different types of MEMS sensors such as chemical and physical sensors.The event was concluded with a feedback session in which participants expressed their views and showed great satisfaction at the successful completion of the NanoDev 2020. Participants also suggested to conduct such short term courses/workshops/seminars in nanotechnology as exposure to these upcoming technological innovations in electronic and photonics systems is highly enlightening particularly for the younger researchers and is need of the hour. This year’s STC offered wide range of lectures in nano-electronics and nano-photonics domain including materials for nanodevices novel nano-electronic devices for microwave rectification plasmonic based devices MMICs and device Fabrication techniques HEMT devices and characterization techniques memory devices MEMS and their simulation techniques said Dr. Arun Kumar Singh Coordinator NanoDev 2020. He thanked all the invited speakers for sharing their research experiences with the participants and acknowledged the full support of Prof. Dheeraj Sanghi Director PEC and Prof. Neelu Jain Head Dept. of Electronics and Communication Engineering in the organization of STC. He further showed gratitude to Prof. Neena Gupta Chairperson IEEE Chandigarh Subsection Dr. Manish Hooda Scientist SCL Mohali and Secretary ISSE Chandigarh Chapter for technical collaboration and Dr. Sanjay Batish Coordinator TEQIP-III for financial support.PEC welcomed Mr. Bikram Singh Garewal the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943 Mr.Bikram has gone on to achieve many great feats in life.A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency Ministry of Power Govt. of India.PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director PEC Prof. Dheeraj Sanghi.All Top StoriesCopyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012
https://pec.ac.in/events/kalpana-chawla-memorial-lecture-national-seminar,<p>,Quick LinksThe two-day National Seminar on ‘Space Flight: Challenges and Opportunities’ was held in the auditorium of Punjab Engineering College (deemed to be university) Chandigarh on February 01-02 2019. Notably the seminar was conducted to commemorate the 16th death anniversary of Dr. Kalpana Chawla the star alumni of Aerospace Engineering Department of PEC who disappeared in the sky during Columbia Disaster on 1st February 2003. The event was organized in association with Aeronautical Society of India (Chandigarh Branch) under the sponsorship of TEQIP-III.Sh. Rajiv Rattan Director Science & Technology Haryana was the Chief Guest in the Seminar where as Dr. S.C. Sharma was the Guest of honour. They inspired the young minds to achieve the target while dreaming high like Kalpana. The seminar was attended by more than one hundred & fifty delegates from all over the country including students faculty scientists and personnel working in the field of space flight.It was Dr. V. Adimurthy who delivered ‘Dr. Kalpana Chawla Memorial Lecture – 2019’ during inaugural session on day one of the event. The title of the lecture was ‘Space Exploration: Past Present and the Future’ where Dr. Adimurthy talked about the quest of humanity to explore the unexplored. Starting from the earlier days of ISRO he described how learning by failing held ISRO to generate human resource for the country in the field of space flight. He then put light on some current news like about achievements of ISRO he pointed out the simultaneous launch of 104 satellites by PSLV-C37 on 15.02.2017. He put light on future exploration mission by ISRO where after Mars eyes are set on Venus Titan moon of Saturn.The first expert lecture was delivered by Dr. Pankaj Priyadarshi from VSSC on multidisciplinary design optimization of aerospace vehicles where he introduced the subject of optimization to students from very basic example of day to day life but finally linked it how it is useful in solving aerospace related problems. In the second expert talk Shri Shyam Mohan N talked about winged re-entry vehicles and ISRO experiments with reusable launch vehicles. These experiments were successfully conducted by ISRO and will be instrumental in India’s dream of manned mission to space. The final lecture of day one was delivered by Sh Ankur Nagpal scientist from VSSC-ISRO who discussed about challenges faced during establishment of 1-m Hypersonic tunnel at VSSC. The challenges were immense but were successfully resolved by hard work and team work of Indian scientists/engineers from over 600 industries and institution from all over the country.The second day of the event started with the talk of Dr. Sudhir Kamle Professor in the department of Aerospace of IIT Kanpur where he talked about material which are used during space flight and how material behavior changes in low pressure and low temperature environment of space and must be taken care of. He also talked about the success story of JUGNU – the student satellite program of IIT Kanpur.The second lecture of the day was delivered by Dr. V. Ashok Deputy Director of VSSC-ISRO where he talked about aerodynamic and aerothermal problems in launch vehicles. He also gave insights on how problem solving is done in case of space vehicles where regulator norms are even stringent than atmospheric vehicles.In the third lecture Sh. Lazar T. Chitilappilly spoke about propulsion research on rockets and scramjet in ISRO. Shri S Rajendran then enlightened the audience about launch vehicle structures and aero-elasticity problems in space vehicles. It was followed by final talk by Dr. Amarjit Singh of Aerospace Engineering Department of PEC where need of high speed research and facility to such research was discussed by citing examples of such facilities from all over the globe.Dr. Rakesh Kumar Professor & Head of Aerospace Engineering Department said that this was a rare opportunity where such a number of eminent Scientists from ISRO Trivandrum have shared every aspects of space flight and discussed various challenges they faced and are likely to face. Dr. Rakesh advised the participant to take up research in the shared topics interact with the speakers and contribute to the country in one way or the other. A lot of efforts had been made to gather such eminent speakers from ISRO and the success of seminar will be materialized if the challenges are taken up by the participants.Dr. Parvendra Kumar Associate Director of TBRL being the Guest of Honor during the valedictory function talked about the opportunities in the field of Aerospace and distributed certificates to the participants.Prof. Tushar Siag coordinator of the event asked the participants to keep the spark ignited and work in the right direction. Sh. Deepak Lekhi Co-coordinator of the event delivered vote of thanks at the end of the seminar.PEC welcomed Mr. Bikram Singh Garewal the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943 Mr.Bikram has gone on to achieve many great feats in life.A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency Ministry of Power Govt. of India.PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director PEC Prof. Dheeraj Sanghi.All Top StoriesCopyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012
https://pec.ac.in/events/aicte-atal-sponsored-fdps,<p>,Quick LinksSomeone has rightly stated that learning should never stop even at the time of crisis. ICT which a great enabler and facilitator of online learning has kept the learning process intact. Amidst lockdown the Department of Computer Science and Engineering Punjab Engineering College Sector-12 Chandigarh has commenced 04 different Faculty Development Programs (FDPs) of one week each under AICTE-Training and Learning (ATAL) scheme w.e.f. 4th May to 29th May 2020. ATAL Programme is an initiative by AICTE which aims at empowering faculty to achieve goals of Higher Education such as access equity and quality. These programs have been designed to fulfill the need to train the young generation in skill sector and having faculty & technicians to be trained in their respective disciplines. This is an initiative of MHRD based on the inputs of expert group of NASSCOM identifying nine thrust areas for the skill upgradation of faculty members which in turn will empower the students to make them future industry ready professionals. The thrust areas are: Artificial Intelligence Internet of Things Block Chain Robotics Quantum Computing Data Sciences Cyber Security 3D Printing and Design Augmented and Virtual Reality.The four faculty development programmes have been designed to give the participants an extensive overview in four diverse areas namely Data Science (4-8 May) Blockchain Technology (11-15 May) Virtual Reality (18-22 May) and Cyber Security (25-29 May) with hands-on online training in respective tools and techniques that are critical in solving problems in all these domains. The overall coordinator Prof. Sanjeev Sofat along with CSE faculty team Dr. Poonam Saini Dr. Manish Kumar Dr. Sachin Chaudhary and Ms. Amandeep Kaur have initiated and designed the programs. There will be number of expert PEC faculty along with experts from IITs NITs and industry who will be delivering expert sessions in the courses.The 1st FDP on “Data Science” has kick-started on Monday i.e. 4th May wherein PEC Director Prof. Dheeraj Sanghi inaugurated the Data Science FDP and emphasized on the change in online teaching learning modes and how faculty must keep themselves updated with the latest technologies. According to him this is the time of learning and educating others as learners cannot get their time back if wasted. There are more than 150 faculty participants from the Engineering institute from all over the country enrolled for the first Faculty development programme. The last FDP will conclude on 29th May 2020.PEC welcomed Mr. Bikram Singh Garewal the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943 Mr.Bikram has gone on to achieve many great feats in life.A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency Ministry of Power Govt. of India.PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director PEC Prof. Dheeraj Sanghi.All Top StoriesCopyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012
https://pec.ac.in/rules-guidelines-forms/guidelines-special-leave,<p>,Quick LinksThe Board of Governors in its meeting held on July 18 2008 approved the proposal for Special Casual Leave Project Leave and Special Leave for Faculty members. This document is meant to provide guidelines for availing these Leaves on academic grounds by faculty members. They shall come into effect from September 2008.1. General 1. Definitions In these guidelines unless the context otherwise requires: (i) ‘Leave year’ means the calendar year i.e. the period commencing from January 1 to December 31 of the year. (ii) ‘Holidays’ means a holiday notified as such by the Institute.2 Right of leave Leave cannot be claimed as a matter of right and  when the exigencies so demand leave of any description may be refused or revoked by the authority empowered to sanction the leave.3. Leave should always be applied for and sanctioned before it is taken except in the cases of emergency and for satisfactory reasons. The faculty member shall however inform the sanctioning Authority at the earliest of the reasons for leave of absence.5. In the event of there being any inconsistency between any of these guidelines and the corresponding provisions in Punjab Engineering College (Deemed University) rules the latter shall prevail.6. The Institute may for sufficient reason to be recorded grant relaxations of the conditions to the extent considered reasonable.2. Special Casual Leave1. Special casual leave not counting towards ordinary casual leave may be utilized by the faculty member when he/she is i) summoned to serve as a Juror or Assessor or to give evidence before a court of law as a witness in a civil or a criminal case in which his private interests are not at issue; ii) allowed to attend a reference library of other institutes or conferences and scientific gatherings of learned and professional societies or a training programme in the interest of the Institute; iii) requested/invited to act as an examiner or an expert in selection committee/Assessment Committees or any other academic/ administrative committees at any other Organization / Institution; iv) allowed to be absent for any research sponsored research or consultancy; v) allowed to participate in sport events and related activities; vi) required to be absent for vasectomy or tubectomy/ laparoscopy operation to the extent of 6 working days to male employees and 14 days to female employees; vii) an office bearer of a recognized union/forum and is required to participate in a meeting /activity of the union/forum; viii) required to be absent for any other purposes approved by the Director / Board of Governors.2. Application of leave shall be addressed to the Head of Department/Director. The Authority empowered to sanction Special Casual Leave shall be same as followed for the Casual leave. The Proforma for availing Special Casual Leave is attached. 3. A faculty members is entitled to 15 days of Special Casual Leave in one calendar year. The leave ordinarily shall not be granted for more than five days at any one time except under special circumstances for which the permission of the Director is necessary.4. Saturday/Sundays/ Holidays can be prefixed /suffixed to the leave.5. Saturday/Sundays/ Holidays falling during a period of the leave shall be not be counted as the part of the leave.6. Special Casual Leave can be taken for half day also.7. Combination of Casual Leave or regular leave (e.g. Earned Leave Half Pay Leave etc) with Special Casual Leave is permissible but combination of both Casual Leave and regular leave together with Special Casual Leave is not permissible.8. LTC can also be availed of in conjunction with Special Casual Leave.9. It must be ensured that prior and proper arrangements are made for the discharge of responsibilities such as teaching duties guidance of research students etc.for days of absence.3 Project Leave1. Project leave can be availed by a faculty member for an additional period not exceeding fifteen days in a calendar year for execution of consultancy work or a sponsored research project.2. A faculty members is entitled to 15 days of Project Leave in one calendar year. The leave ordinarily shall not be granted for more than five days at any one time except under special circumstances for which the permission of the Director is necessary. The Proforma for availing Project Leave is attached.3. Saturday/Sundays/ Holidays can be prefixed /suffixed to the leave.4. Saturday/Sundays/ Holidays falling during a period of the leave shall be not be counted as the part of the leave.5. Project Leave can be taken for half day also6. Project Leave can be combined with Special Casual leave.7 Combination of Casual Leave or regular leave (e.g. Earned Leave Half Pay Leave etc) with Project Leave is also permissible but combination of both Casual Leave and regular leave together with Project Leave is not permissible.8. LTC can also be availed of in conjuction with Project Leave.9. No faculty member shall proceed on the leave unless all prescribed formalities (mentioned in the application leave form) have been completed and leave sanctioned.4 Special Leave1. Special Leave can be availed by the faculty members for the following purposes (i) being on deputation for practical training out of India (ii) for attending Conferences/Seminars/Symposia/Short Course/Training Programmes etc. abroad provided that he / she is going in his/her individual capacity and not as a representative or a delegate of the institute.2. The competent authority to sanction the leave is the Chairman Board of Governors/Director4 If paper accepted for presentation in Conference is multi authored then only one of the author will be allowed to avail the leave.5. The Faculty member may apply 30 days in advance for the purpose of obtaining sanction of leave.6 No faculty member shall proceed on leave unless all the prescribed formalities have been completed and sanction obtained.7 A joining report after availing leave is mandatory. This should include a statement of work done during the leave period.Copyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012
https://pec.ac.in/senate-members#main-content,<p>,Quick LinksName/DesignationCapacityDirectorex-officio ChairmanDeputy Directorex-officioHeads of all the Academic Departmentsex-officioDr. Asha Gupta Applied Sciences DepartmentTwo Professors other than Deans/ Heads of departments by rotationDr. Sanjeev Kumar Mechanical Engineering DepartmentProf. S. K. Sharma Civil Engineering DepartmentTwo Associate Professors from the departments elected from amongst the Associate ProfessorsProf. Arun K. Singh Electonics & Communication Engineering DepartmentProf. Tejinder Singh Saggu Electrical Engineering DepartmentTwo Assistant Professors from the departments elected from amongst the Assistant ProfessorsSh. Kunal Nandwani Co-founder and CEO of uTrade SolutionsTwo persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute nominated by the Chairman of the Board of GovernorsProf. M. Rajiv Lochan Department of History Panjab University ChandigarhMs. Seema Vasishta Senior LibrarianTwo persons who are not members of the teaching staff co-opted by the Senate for their specialized knowledgeRegistrarex-officio SecretaryCopyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012
https://pec.ac.in/senate-members#,<p>,Quick LinksName/DesignationCapacityDirectorex-officio ChairmanDeputy Directorex-officioHeads of all the Academic Departmentsex-officioDr. Asha Gupta Applied Sciences DepartmentTwo Professors other than Deans/ Heads of departments by rotationDr. Sanjeev Kumar Mechanical Engineering DepartmentProf. S. K. Sharma Civil Engineering DepartmentTwo Associate Professors from the departments elected from amongst the Associate ProfessorsProf. Arun K. Singh Electonics & Communication Engineering DepartmentProf. Tejinder Singh Saggu Electrical Engineering DepartmentTwo Assistant Professors from the departments elected from amongst the Assistant ProfessorsSh. Kunal Nandwani Co-founder and CEO of uTrade SolutionsTwo persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute nominated by the Chairman of the Board of GovernorsProf. M. Rajiv Lochan Department of History Panjab University ChandigarhMs. Seema Vasishta Senior LibrarianTwo persons who are not members of the teaching staff co-opted by the Senate for their specialized knowledgeRegistrarex-officio SecretaryCopyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012
https://pec.ac.in/senate-members#0,<p>,Quick LinksName/DesignationCapacityDirectorex-officio ChairmanDeputy Directorex-officioHeads of all the Academic Departmentsex-officioDr. Asha Gupta Applied Sciences DepartmentTwo Professors other than Deans/ Heads of departments by rotationDr. Sanjeev Kumar Mechanical Engineering DepartmentProf. S. K. Sharma Civil Engineering DepartmentTwo Associate Professors from the departments elected from amongst the Associate ProfessorsProf. Arun K. Singh Electonics & Communication Engineering DepartmentProf. Tejinder Singh Saggu Electrical Engineering DepartmentTwo Assistant Professors from the departments elected from amongst the Assistant ProfessorsSh. Kunal Nandwani Co-founder and CEO of uTrade SolutionsTwo persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute nominated by the Chairman of the Board of GovernorsProf. M. Rajiv Lochan Department of History Panjab University ChandigarhMs. Seema Vasishta Senior LibrarianTwo persons who are not members of the teaching staff co-opted by the Senate for their specialized knowledgeRegistrarex-officio SecretaryCopyright © 2020 Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh 160012
